Symbolic Hash,g,x,k,p,Collapse Step,Estimated Digits
R500000000-500000001-10,500000000,500000001,10,500000001,1500000002,301030000
R600000000-600000001-10,600000000,600000001,10,600000001,1800000002,361236000
R700000000-700000001-10,700000000,700000001,10,700000001,2100000002,421442000
R800000000-800000001-10,800000000,800000001,10,800000001,2400000002,481648000
R900000000-900000001-10,900000000,900000001,10,900000001,2700000002,541854000
R1000000000-1000000001-10,1000000000,1000000001,10,1000000001,3000000002,602060000
R1100000000-1100000001-10,1100000000,1100000001,10,1100000001,3300000002,662266000
R1200000000-1200000001-10,1200000000,1200000001,10,1200000001,3600000002,722472000
R1300000000-1300000001-10,1300000000,1300000001,10,1300000001,3900000002,782678000
R1400000000-1400000001-10,1400000000,1400000001,10,1400000001,4200000002,842884000
R1500000000-1500000001-10,1500000000,1500000001,10,1500000001,4500000002,903090000
R1600000000-1600000001-10,1600000000,1600000001,10,1600000001,4800000002,963296000
R1700000000-1700000001-10,1700000000,1700000001,10,1700000001,5100000002,1023502000
